[2025-11-13 11:43:29] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-11-13 12:49:42] Started worker 83 for 231 emails
[2025-11-13 12:49:42] Started worker 84 for 231 emails
[2025-11-13 12:49:42] Started worker 85 for 231 emails
[2025-11-13 12:49:42] Started worker 86 for 231 emails
[2025-11-13 12:49:42] Started worker 87 for 231 emails
[2025-11-13 12:49:42] Started worker 88 for 231 emails
[2025-11-13 12:49:42] Started worker 89 for 231 emails
[2025-11-13 12:49:43] Started worker 90 for 231 emails
[2025-11-13 12:49:43] Started worker 91 for 231 emails
[2025-11-13 12:49:43] Started worker 92 for 231 emails
[2025-11-13 12:49:43] Started worker 93 for 231 emails
[2025-11-13 12:49:43] Started worker 94 for 231 emails
[2025-11-13 12:49:43] Started worker 95 for 231 emails
[2025-11-13 12:49:43] Started worker 96 for 231 emails
[2025-11-13 12:49:43] Started worker 97 for 231 emails
[2025-11-13 12:49:43] Started worker 98 for 231 emails
[2025-11-13 12:49:43] Started worker 99 for 231 emails
[2025-11-13 12:49:43] Started worker 100 for 231 emails
[2025-11-13 12:49:43] Started worker 101 for 231 emails
[2025-11-13 12:49:43] Started worker 102 for 231 emails
[2025-11-13 12:49:43] Started worker 103 for 231 emails
[2025-11-13 12:49:43] Started worker 104 for 231 emails
[2025-11-13 12:49:43] Started worker 105 for 231 emails
[2025-11-13 12:49:43] Started worker 106 for 231 emails
[2025-11-13 12:49:43] Started worker 107 for 231 emails
[2025-11-13 12:49:43] Started worker 108 for 231 emails
[2025-11-13 12:49:43] Started worker 109 for 231 emails
[2025-11-13 12:49:43] Started worker 110 for 231 emails
[2025-11-13 12:49:43] Started worker 111 for 231 emails
[2025-11-13 12:49:43] Started worker 112 for 231 emails
[2025-11-13 12:49:43] Started worker 113 for 231 emails
[2025-11-13 12:49:43] Started worker 114 for 231 emails
[2025-11-13 12:49:43] Started worker 115 for 231 emails
[2025-11-13 12:49:43] Started worker 116 for 231 emails
[2025-11-13 12:49:43] Started worker 117 for 231 emails
[2025-11-13 12:49:43] Started worker 118 for 231 emails
[2025-11-13 12:49:43] Started worker 119 for 231 emails
[2025-11-13 12:49:43] Started worker 120 for 231 emails
[2025-11-13 12:49:43] Started worker 121 for 231 emails
[2025-11-13 12:49:43] Started worker 122 for 231 emails
[2025-11-13 12:49:43] Started worker 123 for 231 emails
[2025-11-13 12:49:43] Started worker 124 for 231 emails
[2025-11-13 12:49:43] Started worker 125 for 231 emails
[2025-11-13 12:49:43] Started worker 126 for 231 emails
[2025-11-13 12:49:43] Started worker 127 for 231 emails
[2025-11-13 12:49:43] Started worker 128 for 231 emails
[2025-11-13 12:49:43] Started worker 129 for 231 emails
[2025-11-13 12:49:43] Started worker 130 for 231 emails
[2025-11-13 12:49:43] Started worker 131 for 231 emails
[2025-11-13 12:49:43] Started worker 132 for 231 emails
[2025-11-13 12:49:43] Started worker 133 for 231 emails
[2025-11-13 12:49:43] Started worker 134 for 231 emails
[2025-11-13 12:49:43] Started worker 135 for 231 emails
[2025-11-13 12:49:43] Started worker 136 for 231 emails
[2025-11-13 12:49:43] Started worker 137 for 231 emails
[2025-11-13 12:49:43] Started worker 138 for 231 emails
[2025-11-13 12:49:43] Started worker 139 for 231 emails
[2025-11-13 12:49:43] Started worker 140 for 231 emails
[2025-11-13 12:49:43] Started worker 141 for 231 emails
[2025-11-13 12:49:43] Started worker 142 for 231 emails
[2025-11-13 12:49:43] Started worker 143 for 231 emails
[2025-11-13 12:49:43] Started worker 144 for 231 emails
[2025-11-13 12:49:43] Started worker 145 for 231 emails
[2025-11-13 12:49:43] Started worker 146 for 231 emails
[2025-11-13 12:49:43] Started worker 147 for 231 emails
